experiment_name,scene_id,initialization,prior_object_id,prior_count,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,10000,ours_10000,13.12372875213623,0.5760529041290283,0.35287103056907654,2318952,306.683601
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,15000,ours_15000,13.307002067565918,0.5957522988319397,0.3385225236415863,2748212,460.025401
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,0,ours_0,10.096053123474121,0.14831995964050293,0.7255139350891113,203984,0.0
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,500,ours_500,11.07394027709961,0.34043702483177185,0.5862255096435547,203984,14.698094
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,1000,ours_1000,11.878497123718262,0.45136263966560364,0.46287378668785095,263738,29.396189
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,2000,ours_2000,12.568985939025879,0.5429121851921082,0.3712270259857178,804913,58.792377
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,3000,ours_3000,12.86401653289795,0.5785529017448425,0.3419135808944702,1256137,88.188566
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,5000,ours_5000,13.17440414428711,0.6137356162071228,0.3156333267688751,1692177,146.980943
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,7000,ours_7000,13.295680046081543,0.6264988780021667,0.30397167801856995,1949851,205.77332
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,10000,ours_10000,13.46629810333252,0.6428626179695129,0.29349109530448914,2234468,293.961886
oracle_prior_vanilla_3dgs_multi_clip_15000,room_0,prior,lamp_0085,4,15000,ours_15000,13.715340614318848,0.6675536036491394,0.2751288115978241,2653722,440.942829
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,0,ours_0,7.869917869567871,0.046994127333164215,0.773455023765564,197667,0.0
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,500,ours_500,10.689769744873047,0.2656432092189789,0.6559508442878723,197667,15.702091
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,1000,ours_1000,11.633673667907715,0.4036341607570648,0.5042207837104797,263334,31.404181
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,2000,ours_2000,12.288561820983887,0.48862266540527344,0.4258992373943329,824318,62.808362
